appointment_id,provider_id,slot_date,start_time,end_time
1,4,2021-01-03,12:00:00,12:20:00
2,1,2021-01-07,16:30:00,16:50:00
3,1,2021-02-04,9:35:00,9:55:00
4,3,2021-02-06,9:35:00,9:55:00
5,6,2021-02-11,13:30:00,13:45:00
6,2,2021-02-15,16:00:00,16:20:12
7,2,2021-02-24,17:00:00,17:20:12
8,2,2021-03-03,9:25:00,9:45:00
9,3,2021-03-13,11:00:00,11:35:00
10,2,2021-03-17,12:00:00,12:20:00
11,1,2021-03-24,13:00:00,13:25:00
12,2,2021-03-31,14:00:00,14:25:00
13,1,2021-04-07,9:45:00,10:05:00
14,1,2021-04-05,11:00:00,11:25:00
15,1,2021-04-09,14:00:00,14:25:00
16,1,2021-04-10,9:35:00,9:45:00
17,1,2021-04-14,9:00:00,9:20:00
18,1,2021-04-30,9:00:00,9:20:00
19,1,2021-04-28,9:00:00,9:20:00
20,2,2021-04-28,9:20:00,9:45:00
21,1,2021-05-10,9:00:00,9:20:00
22,3,2021-05-13,9:00:00,9:20:00
23,1,2021-05-05,9:00:00,9:20:00
24,1,2021-05-03,9:25:00,9:45:00
25,2,2021-04-23,15:00:00,15:25:00
26,4,2021-04-30,12:05:00,12:20:00
